2024-05-23 06:33:29 
2024-05-23 06:33:29 *******                      *******
2024-05-23 06:33:29 ******* перезапуск программы *******
2024-05-23 06:33:29 *******                      *******
2024-05-23 06:33:29 
2024-05-23 06:42:45 fun.move_to_click
2024-05-23 07:58:44 fun.move_to_click
2024-05-23 07:58:46 battle
2024-05-23 07:59:07 fun.foto
2024-05-23 07:59:08 fun.move_to_click
2024-05-23 07:59:11 fun.move_to_click
2024-05-23 08:03:47 fun.move_to_click
2024-05-23 08:03:49 battle
2024-05-23 08:04:22 fun.foto
2024-05-23 08:04:22 fun.move_to_click
2024-05-23 08:04:25 fun.move_to_click
2024-05-23 08:08:50 fun.move_to_click
2024-05-23 08:08:52 battle
2024-05-23 08:09:27 fun.foto
2024-05-23 08:09:28 fun.move_to_click
2024-05-23 08:09:31 fun.move_to_click
2024-05-23 08:13:52 fun.move_to_click
2024-05-23 08:13:54 battle
2024-05-23 08:14:16 fun.foto
2024-05-23 08:14:17 fun.move_to_click
2024-05-23 08:14:19 fun.move_to_click
2024-05-23 08:18:55 fun.move_to_click
2024-05-23 08:18:57 battle
2024-05-23 08:19:19 fun.foto
2024-05-23 08:19:20 fun.move_to_click
2024-05-23 08:19:23 fun.move_to_click
2024-05-23 08:23:59 fun.move_to_click
2024-05-23 08:24:00 battle
2024-05-23 08:24:24 fun.foto
2024-05-23 08:24:24 fun.move_to_click
2024-05-23 08:24:27 fun.move_to_click
2024-05-23 08:29:03 fun.move_to_click
2024-05-23 08:29:05 battle
2024-05-23 08:29:31 fun.foto
2024-05-23 08:29:31 fun.move_to_click
2024-05-23 08:29:35 fun.move_to_click
2024-05-23 08:34:05 fun.move_to_click
2024-05-23 08:34:07 battle
2024-05-23 08:34:26 fun.foto
2024-05-23 08:34:26 fun.move_to_click
2024-05-23 08:34:29 fun.move_to_click
2024-05-23 08:39:07 fun.move_to_click
2024-05-23 08:39:09 battle
2024-05-23 08:39:40 fun.foto
2024-05-23 08:39:41 fun.move_to_click
2024-05-23 08:39:44 fun.move_to_click
2024-05-23 08:44:10 fun.move_to_click
2024-05-23 08:44:12 battle
2024-05-23 08:44:26 fun.foto
2024-05-23 08:44:27 fun.move_to_click
2024-05-23 08:44:29 fun.move_to_click
2024-05-23 08:49:13 fun.move_to_click
2024-05-23 08:49:15 battle
2024-05-23 08:49:40 fun.foto
2024-05-23 08:49:40 fun.move_to_click
2024-05-23 08:49:43 fun.move_to_click
2024-05-23 08:54:16 fun.move_to_click
2024-05-23 08:54:18 battle
2024-05-23 08:54:36 fun.foto
2024-05-23 08:54:37 fun.move_to_click
2024-05-23 08:54:39 fun.move_to_click
2024-05-23 08:59:19 fun.move_to_click
2024-05-23 08:59:21 battle
2024-05-23 08:59:57 fun.foto
2024-05-23 08:59:57 fun.move_to_click
2024-05-23 09:00:00 fun.move_to_click
2024-05-23 09:04:23 fun.move_to_click
2024-05-23 09:04:25 battle
2024-05-23 09:04:52 fun.foto
2024-05-23 09:04:52 fun.move_to_click
2024-05-23 09:04:55 fun.move_to_click
2024-05-23 09:09:26 fun.move_to_click
2024-05-23 09:09:27 battle
2024-05-23 09:09:56 fun.foto
2024-05-23 09:09:56 fun.move_to_click
2024-05-23 09:09:59 fun.move_to_click
2024-05-23 09:14:28 fun.move_to_click
2024-05-23 09:14:30 battle
2024-05-23 09:14:51 fun.foto
2024-05-23 09:14:51 fun.move_to_click
2024-05-23 09:14:54 fun.move_to_click
2024-05-23 09:19:31 fun.move_to_click
2024-05-23 09:19:33 battle
2024-05-23 09:19:45 fun.foto
2024-05-23 09:19:45 fun.move_to_click
2024-05-23 09:19:48 fun.move_to_click
2024-05-23 09:24:34 fun.move_to_click
2024-05-23 09:24:36 battle
2024-05-23 09:24:42 fun.move_to_click
2024-05-23 09:24:47 fun.foto
2024-05-23 09:24:48 fun.move_to_click
2024-05-23 09:24:51 fun.move_to_click
2024-05-23 09:29:36 fun.move_to_click
2024-05-23 09:29:38 battle
2024-05-23 09:30:07 fun.foto
2024-05-23 09:30:07 fun.move_to_click
2024-05-23 09:30:10 fun.move_to_click
2024-05-23 09:34:40 fun.move_to_click
2024-05-23 09:34:41 battle
2024-05-23 09:34:59 fun.foto
2024-05-23 09:34:59 fun.move_to_click
2024-05-23 09:35:02 fun.move_to_click
2024-05-23 09:39:42 fun.move_to_click
2024-05-23 09:39:44 battle
2024-05-23 09:40:10 fun.foto
2024-05-23 09:40:10 fun.move_to_click
2024-05-23 09:40:13 fun.move_to_click
2024-05-23 09:44:45 fun.move_to_click
2024-05-23 09:44:46 battle
2024-05-23 09:45:07 fun.foto
2024-05-23 09:45:07 fun.move_to_click
2024-05-23 09:45:10 fun.move_to_click
2024-05-23 09:49:48 fun.move_to_click
2024-05-23 09:49:49 battle
2024-05-23 09:50:07 fun.foto
2024-05-23 09:50:08 fun.move_to_click
2024-05-23 09:50:11 fun.move_to_click
2024-05-23 09:54:51 fun.move_to_click
2024-05-23 09:54:52 battle
2024-05-23 09:55:11 fun.foto
2024-05-23 09:55:12 fun.move_to_click
2024-05-23 09:55:14 fun.move_to_click
2024-05-23 17:05:53 
2024-05-23 17:05:53 *******                      *******
2024-05-23 17:05:53 ******* перезапуск программы *******
2024-05-23 17:05:53 *******                      *******
2024-05-23 17:05:53 
2024-05-23 17:05:59 fun.move_friends_list_to_top
2024-05-23 17:06:08 fun.move_friends_list_left
2024-05-23 17:06:21 fun.move_friends_list_left
2024-05-23 17:06:24 fun.move_friends_list_left
2024-05-23 17:06:37 fun.move_friends_list_left
2024-05-23 17:06:49 fun.move_friends_list_left
2024-05-23 17:07:01 fun.move_friends_list_left
2024-05-23 17:07:05 fun.move_friends_list_left
2024-05-23 17:07:09 fun.move_friends_list_left
2024-05-23 17:07:12 fun.move_friends_list_left
2024-05-23 17:07:16 fun.move_friends_list_left
2024-05-23 17:07:28 fun.move_friends_list_left
