Станции проверены через tempo.info():
                            id  map
Киевская А                +   +
Киевская                    +   +
ст. Парк культуры(Г)        +   +
ст. Парк культуры(КР)       +   ст. Фрунзенская, ст. Парк культуры(Г), ст. Кропоткинская
ст. Фрунзенская             +   +
ст. Коммунистическая        +   +
ст. Университет             +   +
ст. Пр-кт Вернадского       +   +
ст. Кропоткинская           +   +
ст. Библиотека им. Ленина   +   +
ст. Полянка                 +   +
ст. Боровицкая              +   +
ст. Полянка                 +   +
ст. Чеховская               +   +
ст. Цветной бульвар         +   +
